incident_id,downtime_start,downtime_end,duration_minutes,source,title,impact
17678039,2023-06-25T06:40:00Z,2023-06-25T07:01:00Z,21,updates,Incident with Actions and Pull Requests,minor
17708219,2023-06-28T11:21:00Z,2023-06-28T11:37:00Z,16,updates,Incident with Issues and Pull Requests,minor
17713701,2023-06-28T22:59:00Z,2023-06-29T06:43:00Z,464,updates,"Incident with Actions, API Requests and Pages",minor
17720747,2023-06-29T14:51:00Z,2023-06-29T17:19:00Z,148,updates,Incident with Actions,minor
17722171,2023-06-29T17:52:00Z,2023-06-29T18:36:00Z,44,updates,Incident On 2023-06-29,critical
17752430,2023-07-03T13:18:00Z,2023-07-03T13:47:00Z,29,updates,Incident with Pull Requests,minor
17767486,2023-07-05T05:54:00Z,2023-07-05T11:37:00Z,343,updates,Incident with Pull Requests,minor
17791514,2023-07-07T15:53:00Z,2023-07-07T17:15:00Z,82,updates,Incident with Pull Requests,minor
17836340,2023-07-12T17:38:00Z,2023-07-12T18:08:00Z,30,updates,Incident with Codespaces,minor
17890412,2023-07-18T15:44:00Z,2023-07-18T16:44:00Z,60,updates,Incident with Git Operations and Pull Requests,minor
17922271,2023-07-21T13:12:00Z,2023-07-21T14:01:00Z,49,updates,"Incident with Actions, API Requests, Git Operations, Packages, Pages and Pull Requests",minor
17959889,2023-07-25T22:33:00Z,2023-07-25T22:43:00Z,10,updates,Investigating reports of degraded performance.,none
17965932,2023-07-26T13:50:00Z,2023-07-26T15:04:00Z,74,updates,Incident with Pull Requests,minor
17980092,2023-07-27T22:04:00Z,2023-07-28T01:08:00Z,184,updates,Incident with Pull Requests,minor
17984154,2023-07-28T09:31:00Z,2023-07-28T10:00:00Z,29,updates,Incident with Issues,minor
17986381,2023-07-28T14:49:00Z,2023-07-28T15:45:00Z,56,updates,Incident with Pull Requests,minor
18024095,2023-08-01T20:12:00Z,2023-08-01T20:28:00Z,16,updates,Incident with Copilot,minor
18098471,2023-08-09T19:42:00Z,2023-08-09T20:14:00Z,32,updates,Incident with Git Operations and Actions,minor
18107886,2023-08-10T17:35:00Z,2023-08-10T21:20:00Z,225,updates,Incident with Webhooks and Actions,minor
18119831,2023-08-11T20:44:00Z,2023-08-11T21:41:00Z,57,updates,We are investigating reports of degraded performance.,minor
18154445,2023-08-15T17:24:00Z,2023-08-15T17:41:00Z,17,updates,Incident with Webhooks,minor
18154446,2023-08-15T17:24:00Z,2023-08-15T21:46:00Z,262,updates,Incident with Webhooks,minor
18176434,2023-08-17T18:36:00Z,2023-08-17T19:09:00Z,33,updates,Incident with Actions,minor
18176671,2023-08-17T19:12:00Z,2023-08-17T19:28:00Z,16,updates,We are investigating reports of degraded performance.,minor
18212482,2023-08-21T17:27:00Z,2023-08-21T18:41:00Z,74,updates,Incident with Actions,minor
18222663,2023-08-22T15:59:00Z,2023-08-22T17:01:00Z,62,updates,Incident with Actions,minor
18234104,2023-08-23T15:38:00Z,2023-08-23T16:23:00Z,45,updates,Incident with Webhooks,minor
